Area,Item,Year,Area harvested (ha),Production (tonnes),Calories (100gr),Protein,Carbohydrates,Fats,Fiber,Vitamin A,Vitamin K,Vtamin C,Vitamin B-3,Vitamin B-9,Calcium,Iron,Potasium,Magnesium,phosphorus,Sodium,Zinc,Selenium,Manganese,Annual Consumption Percapita,Daily Consuption Percapita
Mexico,Agave fibres nes,2019,22104,6028,,,,,,,,,,,,,,,,,,,,,
Mexico,"Almonds, with shell",2019,27,38,,,,,,,,,,,,,,,,,,,,,
Mexico,"Anise, badian, fennel, coriander",2019,7099,100560,,,,,,,,,,,,,,,,,,,,,
Mexico,Apples,2019,52981,761483,,,,,,,,,,,,,,,,,,,,,
Mexico,Apricots,2019,185,967,,,,,,,,,,,,,,,,,,,,,
Mexico,Artichokes,2019,174,2387,,,,,,,,,,,,,,,,,,,,,
Mexico,Asparagus,2019,30842,272202,,,,,,,,,,,,,,,,,,,,,
Mexico,Avocados,2019,215942,2300889,160,2,8.5,14.66,6.7,146,21,10,1.7,81,12,,485,29,52,7,,,,8,0.021917808
Mexico,Bananas,2019,76480,2227173,,,,,,,,,,,,,,,,,,,,,
Mexico,Barley,2019,357994,964083,354,12.48,73.5,2.3,17.3,22,2.2,,4.6,19,33,3.6,452,133,264,12,2.77,37.7,1.94,,0
Mexico,"Beans, dry",2019,1207395,879404,71,4.07,13.3,0,3.6,150,,7.3,,16,28,1.61,285,34,71,252,,1.1,,10.2,0.027945205
Mexico,"Beans, green",2019,8458,81161,,,,,,,,,,,,,,,,,,,,,
Mexico,Berries nes,2019,12900,298024,,,,,,,,,,,,,,,,,,,,,
Mexico,Blueberries,2019,4319,48999,,,,,,,,,,,,,,,,,,,,,
Mexico,"Broad beans, horse beans, dry",2019,20644,30568,,,,,,,,,,,,,,,,,,,,,
Mexico,Cabbages and other brassicas,2019,6115,203986,25,1.28,5.8,0,2.5,98,76,36.6,,43,40,,170,12,26,18,,,,,0
Mexico,Canary seed,2019,1,2,,,,,,,,,,,,,,,,,,,,,
Mexico,Carobs,2019,66,261,,,,,,,,,,,,,,,,,,,,,
Mexico,Carrots and turnips,2019,11750,353750,41,0,9.6,0,2.8,16706,13.2,5.9,1,19,33,,320,12,35,69,,,,,0
Mexico,"Cashew nuts, with shell",2019,1340,3563,,,,,,,,,,,,,,,,,,,,,
Mexico,Cassava,2019,2101,27153,,,,,,,,,,,,,,,,,,,,,
Mexico,Castor oil seed,2019,34,119,,,,,,,,,,,,,,,,,,,,,
Mexico,Cauliflowers and broccoli,2019,38805,717424,,,,,,,,,,,,,,,,,,,,,
Mexico,Cereals nes,2019,3192,5548,,,,,,,,,,,,,,,,,,,,,
Mexico,Cherries,2019,39,92,,,,,,,,,,,,,,,,,,,,,
Mexico,Chick peas,2019,95818,202846,,,,,,,,,,,,,,,,,,,,,
Mexico,"Chillies and peppers, dry",2019,31389,60706,,,,,,,,,,,,,,,,,,,,,
Mexico,"Chillies and peppers, green",2019,149577,3238245,27,0,4.7,0,2.6,1700,12.9,10,,14,23,1.88,193,15,18,1671,,,,18.1,0.049589041
Mexico,Cloves,2019,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"Cocoa, beans",2019,58527,28452,,,,,,,,,,,,,,,,,,,,,
